Country/area,Type,Capacity_Weighted_Age_Years
Philippines,coal,14.866963551224448
Indonesia,coal,10.946531234865233
Malaysia,coal,16.563253012048193
Thailand,coal,22.758307639602602
Vietnam,coal,9.733251560301598
Philippines,oil/gas,22.027697209239417
Singapore,oil/gas,21.273672219849068
Indonesia,oil/gas,18.891691529918777
Malaysia,oil/gas,15.133279060301215
Thailand,oil/gas,13.40338204385988
Vietnam,oil/gas,17.29467758444217
Philippines,hydropower,43.75
Indonesia,hydropower,31.418141180853045
Malaysia,hydropower,23.908898993179605
Thailand,hydropower,42.319327731092436
Vietnam,hydropower,19.137653030755448
Philippines,solar,4.358714878069997
Singapore,solar,6.634914463452565
Indonesia,solar,3.2523208511526027
Malaysia,solar,5.069261785431662
Thailand,solar,6.6159303796111715
Vietnam,solar,6.001073593933263
Philippines,wind,9.074712643678161
Indonesia,wind,7.859872611464968
Thailand,wind,8.364194615021256
Vietnam,wind,4.62791373796453
Philippines,bioenergy,10.631004366812228
Singapore,bioenergy,15.703196347031964
Indonesia,bioenergy,13.299494097807758
Malaysia,bioenergy,17.506607929515418
Thailand,bioenergy,16.835991364301133
Vietnam,bioenergy,6.834645669291339
Philippines,geothermal,35.25715773034878
Indonesia,geothermal,16.336345670879822
